seeker_id,name,skills,industry,education,location,experience_years,salary_expectation
230d0a2c-6aa1-45ac-8a5c-757180f08f0b,Kevin Martinez,Tax|Special Needs|Tour Guiding|Hotel Management|Customer Service|Logistics,Tourism,Bachelor - University of Dodoma,Zanzibar,7,11506760
d34cd69e-9aed-4814-91c9-731657ab8ad2,Luis Taylor,Nursing|Patient Care|Travel Planning|Clinical Research|AutoCAD,Healthcare,PhD - Sokoine University,Dodoma,4,16940465
6fb1263f-e557-4d46-bbd7-31218c440a3e,Seth Cooke,Special Needs|Hotel Management|eLearning|Accounting|Teaching,Education,Diploma - Ardhi University,Zanzibar,14,12047639
f1651fd2-bb27-4806-ba5b-6b02adfc7508,James Hess,Safety Compliance|Tax|Nursing|Civil Engineering|AutoCAD,Construction,Bachelor - Nelson Mandela Institute,Mwanza,12,16311884
70432db0-6bae-4576-adf2-68708047ab7d,Richard Wilson,Patient Care|Site Management|Energy Auditing|Surveying|AutoCAD,Construction,Bachelor - Mzumbe University,Kilimanjaro,2,8441839
3a10c79c-ba14-4bff-88be-32c5e2acf00a,Tara Goodman,Site Management|SQL|Lab Work|Surveying|AutoCAD,Construction,Bachelor - St. Augustine University,Kilimanjaro,9,10450405
70c34067-f86b-4c55-a163-8cc6d8f57e69,Donald Austin,Nursing|Patient Care|Public Health,Healthcare,Diploma - Ardhi University,Arusha,15,10007581
1bd47923-1026-40a8-bc55-0403a98153e6,Anne Jones,Tour Guiding|Public Health|Customer Service|Financial Analysis|Event Planning|Fleet Management,Tourism,Certificate - Muhimbili University,Kilimanjaro,10,10254056
cb33dd48-8301-408c-a359-e096515cfd05,Casey Spencer,Curriculum Design|Counseling|Grid Management|Teaching,Education,PhD - University of Dodoma,Dodoma,13,13521855
251353c1-e188-459d-8fb0-6eefdd6a5509,Scott Rowe,Special Needs|Tour Guiding|Excel|Auditing|Financial Analysis,Finance,Bachelor - Ardhi University,Arusha,4,10916190
1521f1c6-c0d6-4c0f-a44b-c0ef238e2682,David Ramirez,Travel Planning|Hotel Management|AutoCAD|Linux|Event Planning,Tourism,Certificate - University of Dar es Salaam,Morogoro,6,10305877
72f0125f-f9f8-4f21-b927-fa184223ee46,Ryan Jensen,Safety Compliance|Irrigation|Soil Science|Financial Analysis|Crop Science,Agriculture,Master - Muhimbili University,Arusha,7,9657887
5c4f757a-6078-4da1-9cdb-9c3abbc6dd82,Samantha Snyder,Safety Compliance|Site Management|Public Health|Civil Engineering|Event Planning,Construction,Bachelor - University of Dar es Salaam,Mwanza,11,12396522
6f797208-02f4-4656-b29d-03958c016114,Philip Campbell,Travel Planning|Customer Service|Event Planning,Tourism,Bachelor - Sokoine University,Kilimanjaro,10,4303222
620c2c62-f521-4310-aefa-483561d27992,Kevin Lewis,Site Management|Irrigation|Electrical Engineering|Agribusiness|Crop Science,Agriculture,Diploma - Sokoine University,Zanzibar,11,11897764
4cc4cf18-e994-41eb-9592-3547dfc18494,Kevin Brown,Livestock|Agribusiness|Irrigation|Crop Science,Agriculture,Diploma - Mzumbe University,Dar es Salaam,6,15181476
62b54cb1-9d72-4b81-9ee3-a66c192154a1,Alexandra Wallace,Soil Science|Livestock|Agribusiness,Agriculture,Certificate - Mzumbe University,Dodoma,10,3376123
e9407815-72f8-4411-aae7-614d4e2ef541,Dana Hill,Irrigation|Lab Work|Counseling|Teaching|Curriculum Design,Education,Master - University of Dar es Salaam,Arusha,15,15324275
c2adeae7-43b4-46af-b0df-ac7af54bb9ca,Isaac Mata,Energy Auditing|Maintenance|Grid Management|Public Health,Energy,Diploma - Muhimbili University,Mbeya,2,3480524
89af0461-885c-447a-9585-a9f871529fe3,Alexandra Pena,Cloud|Flutter|Django,ICT,Master - University of Dar es Salaam,Zanzibar,2,13891166
800085d8-c480-4fd2-b1eb-65d3cd041c55,Claire Diaz,Patient Care|Lab Work|Irrigation|Public Health,Healthcare,Diploma - Muhimbili University,Mbeya,2,3363973
7e126f7d-7f6a-4990-9f11-3a432e884fce,Paul Craig,Driving|Route Planning|AutoCAD|Fleet Management,Transport,Bachelor - Muhimbili University,Tanga,9,17975241
6a5103dd-9406-4d22-8844-5dd6c5d7603d,Heidi Carrillo,SQL|Lab Work|Flutter|Soil Science|Dispatch|Android,ICT,Certificate - Muhimbili University,Morogoro,1,4221730
7ee56dd3-01e2-440b-a1ac-55572915385f,Jessica Cooper,Agribusiness|Irrigation|Crop Science,Agriculture,Diploma - University of Dar es Salaam,Arusha,9,5971297
09afa5a9-c76d-405d-83bc-962d948498cf,Jonathan Bond,Electrical Engineering|Energy Auditing|AutoCAD|Maintenance,Energy,Bachelor - Ardhi University,Moshi,4,9269314
47f37d76-7f4b-4ff8-a944-307c705975db,Keith Knight,SQL|Customer Service|Django|Python,ICT,Certificate - University of Dodoma,Moshi,1,11868142
681f34c4-6406-46df-aac8-0bde74296bc0,Jesus Walker,Cloud|Python|Android,ICT,Bachelor - St. Augustine University,Kilimanjaro,11,14738443
a61e6c01-b205-4856-9292-b9b7b2de2041,Alexander Lang,Route Planning|Soil Science|Driving|Livestock|Fleet Management,Transport,Diploma - Muhimbili University,Dodoma,8,11294085
68bb9395-a932-4315-affc-86a4012af253,Mr. Perry Richards MD,Travel Planning|Tour Guiding|Energy Auditing|Soil Science|Clinical Research|Event Planning,Tourism,Certificate - University of Dar es Salaam,Dar es Salaam,13,4367627
b5599b76-9145-4d67-b12a-8b332db2c274,William Bowman,Soil Science|Irrigation|Crop Science,Agriculture,Certificate - University of Dar es Salaam,Arusha,11,13609191
e11893c2-3ef5-4ca9-8e87-760154779a4a,Tracy David,Nursing|Patient Care|Clinical Research,Healthcare,Certificate - Muhimbili University,Tanga,14,8739302
9b329de1-f350-4906-b3e7-917a3de737e7,Brenda Jones,Networking|Cloud|Flutter|Surveying,ICT,Bachelor - Sokoine University,Dodoma,1,14791307
cea30c7a-e8c0-4a27-b143-dd6b373b93f4,Hannah Wagner,Site Management|Travel Planning|Surveying|AutoCAD|Grid Management|Crop Science,Construction,Bachelor - Sokoine University,Mbeya,10,15070195
806dcd94-c9b2-48ea-bcb8-1ded59f6fccb,Crystal Floyd,Clinical Research|Nursing|Django|Public Health,Healthcare,Certificate - University of Dar es Salaam,Zanzibar,2,3512455
67677f8c-a526-47e6-a1ac-8492d82cbda2,Rodney Ibarra,Special Needs|Irrigation|Soil Science|Agribusiness|Maintenance,Agriculture,Bachelor - St. Augustine University,Kilimanjaro,0,9339648
35be0e6d-ea35-4676-8810-ccd430612554,Natalie Hughes,Tax|Lab Work|Surveying|Excel|Auditing|Financial Analysis,Finance,Master - Ardhi University,Zanzibar,15,11757576
7c50eaae-5118-44e4-bd24-1b1e35d588c6,Logan Massey,Soil Science|Driving|Dispatch|Agribusiness|Livestock|Crop Science,Agriculture,Certificate - Sokoine University,Tanga,14,9804051
98ba1cd6-af51-4b8b-b6e9-3607c36e2e7e,Monique Holmes,Tax|Nursing|Lab Work|Clinical Research,Healthcare,Certificate - Ardhi University,Mwanza,0,5446075
a00005a3-57b3-4277-86ac-5c679f75dd72,Brittany Clark,Grid Management|Energy Auditing|Soil Science|Maintenance,Energy,Bachelor - Sokoine University,Kilimanjaro,1,11029670
1b8ccd5c-0b43-40dc-90c9-76a618503b56,Shannon Pace,Safety Compliance|Site Management|SQL|Soil Science|Cloud|Civil Engineering,Construction,Master - Mzumbe University,Mwanza,3,6418077
3c863f0a-52ac-4163-853a-95803a1eaa5c,Renee Hicks,Irrigation|Soil Science|Dispatch|Agribusiness|Android,Agriculture,Certificate - Ardhi University,Mwanza,7,8163122
aeb581bd-2a0e-4d13-b099-6014fdfc59c1,Emily Graham,Python|Tour Guiding|Irrigation|Renewables|Livestock|Crop Science,Agriculture,Certificate - Ardhi University,Morogoro,0,10083671
9f358fba-4624-431e-b65e-b9c036389d83,Allison Farley,Livestock|Soil Science|Crop Science,Agriculture,Diploma - St. Augustine University,Tanga,4,5769194
33421411-e5c9-478b-90d5-70320ca1fb80,Karen Lawrence,Tax|Auditing|Excel,Finance,PhD - University of Dodoma,Kilimanjaro,6,16489408
4ca8677f-94d7-47d7-adb1-d2e9d37bc17e,Danny Stewart,Logistics|Cloud|Django|React,ICT,Diploma - University of Dar es Salaam,Kilimanjaro,8,9491448
15dfc172-2bd9-45aa-a93b-a3b1f1f040a2,Kendra Freeman,Nursing|SQL|Lab Work|Renewables|Django|Android,ICT,Certificate - Sokoine University,Mbeya,7,12154492
36aded03-6696-45fd-88fd-767229d45a57,Alfred Murray,Electrical Engineering|Renewables|Energy Auditing,Energy,Diploma - University of Dar es Salaam,Dar es Salaam,3,6385276
cf912246-388e-4a8e-b4c9-534d01461740,Jeanne Marquez,Driving|Route Planning|React|Dispatch,Transport,Diploma - Sokoine University,Zanzibar,5,4047819
b2ff63bb-69c9-4156-8e39-1909d71e3828,Linda Jones,Nursing|Surveying|Customer Service|Renewables|Civil Engineering|AutoCAD,Construction,Bachelor - Muhimbili University,Arusha,14,17306930
d0c8844a-2de7-46da-b407-9ef8e8490b8d,Kevin Lee,Nursing|Patient Care|Lab Work|Customer Service|Driving|Dispatch,Healthcare,Bachelor - Ardhi University,Zanzibar,7,10373301
7164f497-0766-4e94-966a-49f2f1557836,Kimberly Church,Networking|Django|Dispatch|Android,ICT,Diploma - Sokoine University,Mwanza,1,11327610
